"area_code","area_type","area_name","year","period","type_definition","indicator","numerator","measure","upper_confidence_interval","lower_confidence_interval"
"S00000001","Scotland","Scotland",2004,"2002 to 2006 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",262.4,4.9,5.5,4.3
"S00000001","Scotland","Scotland",2005,"2003 to 2007 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",262.6,4.8,5.4,4.2
"S00000001","Scotland","Scotland",2006,"2004 to 2008 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",260.2,4.6,5.2,4.1
"S00000001","Scotland","Scotland",2007,"2005 to 2009 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",253.8,4.4,5,3.9
"S00000001","Scotland","Scotland",2008,"2006 to 2010 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",241.2,4.1,4.7,3.6
"S00000001","Scotland","Scotland",2009,"2007 to 2011 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",240.2,4.1,4.6,3.6
"S00000001","Scotland","Scotland",2010,"2008 to 2012 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",228.8,3.9,4.4,3.4
"S00000001","Scotland","Scotland",2011,"2009 to 2013 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",215.6,3.7,4.2,3.2
"S00000001","Scotland","Scotland",2012,"2010 to 2014 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",210,3.6,4.2,3.2
"S00000001","Scotland","Scotland",2013,"2011 to 2015 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",201.6,3.5,4.1,3.1
"S00000001","Scotland","Scotland",2014,"2012 to 2016 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",190.2,3.4,3.9,2.9
"S00000001","Scotland","Scotland",2015,"2013 to 2017 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",182.8,3.3,3.8,2.9
"S00000001","Scotland","Scotland",2016,"2014 to 2018 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",178.4,3.3,3.8,2.8
"S00000001","Scotland","Scotland",2017,"2015 to 2019 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",170.6,3.2,3.8,2.8
"S00000001","Scotland","Scotland",2018,"2016 to 2020 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",165.6,3.2,3.8,2.8
"S00000001","Scotland","Scotland",2019,"2017 to 2021 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",166.8,3.4,3.9,2.9
"S08000015","Health board","NHS Ayrshire & Arran",2004,"2002 to 2006 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",18.8,5.2,8.1,3.1
"S08000015","Health board","NHS Ayrshire & Arran",2005,"2003 to 2007 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",21.4,5.7,8.8,3.6
"S08000015","Health board","NHS Ayrshire & Arran",2006,"2004 to 2008 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",22.4,5.9,8.9,3.7
"S08000015","Health board","NHS Ayrshire & Arran",2007,"2005 to 2009 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",23.2,6.1,9.1,3.9
"S08000015","Health board","NHS Ayrshire & Arran",2008,"2006 to 2010 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",19.8,5.1,7.9,3.1
"S08000015","Health board","NHS Ayrshire & Arran",2009,"2007 to 2011 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",21.6,5.6,8.5,3.5
"S08000015","Health board","NHS Ayrshire & Arran",2010,"2008 to 2012 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",18.8,4.9,7.6,2.9
"S08000015","Health board","NHS Ayrshire & Arran",2011,"2009 to 2013 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",18.2,4.8,7.6,2.9
"S08000015","Health board","NHS Ayrshire & Arran",2012,"2010 to 2014 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",16.2,4.3,7,2.5
"S08000015","Health board","NHS Ayrshire & Arran",2013,"2011 to 2015 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",15.6,4.2,6.9,2.4
"S08000015","Health board","NHS Ayrshire & Arran",2014,"2012 to 2016 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",12.8,3.6,6.1,1.9
"S08000015","Health board","NHS Ayrshire & Arran",2015,"2013 to 2017 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",12.6,3.6,6.2,1.9
"S08000015","Health board","NHS Ayrshire & Arran",2016,"2014 to 2018 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",10,2.9,5.3,1.4
"S08000015","Health board","NHS Ayrshire & Arran",2017,"2015 to 2019 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",9.8,2.9,5.4,1.4
"S08000015","Health board","NHS Ayrshire & Arran",2018,"2016 to 2020 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",9.2,2.8,5.4,1.3
"S08000015","Health board","NHS Ayrshire & Arran",2019,"2017 to 2021 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",8.2,2.6,5.1,1.1
"S08000016","Health board","NHS Borders",2004,"2002 to 2006 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",5.8,5.5,12.1,2
"S08000016","Health board","NHS Borders",2005,"2003 to 2007 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",5,4.6,10.8,1.5
"S08000016","Health board","NHS Borders",2006,"2004 to 2008 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",3.8,3.4,9,0.9
"S08000016","Health board","NHS Borders",2007,"2005 to 2009 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",3.2,2.8,8.1,0.6
"S08000016","Health board","NHS Borders",2008,"2006 to 2010 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",3.2,2.8,7.9,0.6
"S08000016","Health board","NHS Borders",2009,"2007 to 2011 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",3.2,2.8,7.9,0.6
"S08000016","Health board","NHS Borders",2010,"2008 to 2012 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",3,2.6,7.7,0.5
"S08000016","Health board","NHS Borders",2011,"2009 to 2013 calendar years; 5-year aggregates","Crude rate per 1,000 live births","Infant deaths, aged 0-1 years",2.8,2.5,7.4,0.5
