IntZone,IntZoneName,CA,CAName,HSCP,HSCPName,HB,HBName,Country
S02000003,Culter,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000001,Cove South,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000007,"Cults, Bieldside and Milltimber West",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000002,"Kincorth, Leggart and Nigg South",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000005,Cove North,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000004,"Cults, Bieldside and Milltimber East",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000006,"Kincorth, Leggart and Nigg North",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000008,Garthdee,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000009,"Braeside, Mannofield, Broomhill and Seafield South",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000010,Ferryhill South,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000011,"Braeside, Mannofield, Broomhill and Seafield East",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000013,"Braeside, Mannofield, Broomhill and Seafield North",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000012,Torry West,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000015,Torry East,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000014,Hazlehead,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000016,Ferryhill North,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000017,West End South,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000018,City Centre,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000019,West End North,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000022,Hanover,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000020,Summerhill,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000021,Rosemount,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000023,Midstocket,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000035,Kingswells,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000024,George Street,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000027,Sheddocksley,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000025,Mastrick,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000026,Ashgrove,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000028,Stockethill,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000029,"Froghall, Powis and Sunnybank",S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000032,Seaton,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000030,Cummings Park,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000033,Hilton,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000031,Northfield,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000037,Old Aberdeen,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000038,Woodside,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000036,Tillydrone,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000034,Heathryfold and Middlefield,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000039,Bucksburn South,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000043,Bucksburn North,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000041,Balgownie and Donmouth West,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000042,Balgownie and Donmouth East,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000040,Danestone,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000044,Oldmachar East,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000045,Oldmachar West,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000046,Denmore,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000047,Dyce,S12000033,Aberdeen City,S37000001,Aberdeen City,S08000020,NHS Grampian,S92000003
S02000048,Mearns South and Benholm,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000049,Mearns and Laurencekirk,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000050,Mearns North and Inverbervie,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000053,"Fetteresso, Netherley and Catter",S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000051,Stonehaven South,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000052,Stonehaven North,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000054,Aboyne and South Deeside,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000056,East Cairngorms,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000055,Newtonhill,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000061,"Dunecht, Durris and Drumoak",S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000058,Portlethen,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000057,Banchory,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000059,Banchory-Devenick and Findon,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000060,Crathes and Torphins,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000065,Cromar and Kildrummy,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000062,Garlogie and Elrick,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000063,Westhill Central,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000064,Westhill North and South,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000066,Kintore and Blackburn,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000068,Howe of Alford,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000069,Balmedie and Potterton,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000067,Kemnay,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000073,Durno-Chapel of Garioch,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000070,Newmachar and Fintray,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000071,Inverurie South,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000072,Inverurie North,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000080,Clashindarroch,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
S02000078,Ythanside,S12000034,Aberdeenshire,S37000002,Aberdeenshire,S08000020,NHS Grampian,S92000003
